date,count,uniques
2026-07-17,1,1
2026-07-18,0,0
2026-07-19,0,0
2026-07-20,0,0
2026-07-21,1,1
2026-07-22,1,1
2026-07-23,0,0
2026-07-24,0,0
2026-07-25,0,0
2026-07-26,0,0
2026-07-27,1,1
2026-07-28,0,0
2026-07-29,1,1
2026-07-30,0,0
